Teacher,Day,Period,Class,Subject
NK,MON,1,10I,SS
NK,MON,2,SCM,NIL
NK,MON,3,8E,SS
NK,MON,4,10B,SS
NK,MON,7,9D,SS
NK,TUE,1,10I,SS
NK,TUE,3,8E,SS
NK,TUE,4,8A,SS
NK,TUE,5,10B,SS
NK,TUE,7,9D,SS
NK,WED,1,10I,SS
NK,WED,3,8E,SS
NK,WED,5,10B,SS
NK,WED,6,9D,SS
NK,WED,7,8A,SS
NK,THU,1,10I,SS
NK,THU,2,10B,SS
NK,THU,3,9D,SS
NK,THU,5,8A,SS
NK,THU,6,8E,SS
NK,FRI,1,10D,ITT
NK,FRI,2,10I,SS
NK,FRI,4,8A,SS
NK,FRI,6,9D,SS
NK,FRI,7,10B,SS
AKG,MON,1,9B,SS
AKG,MON,2,SCM,NIL
AKG,MON,3,8L,SS
AKG,MON,4,10F,SS
AKG,MON,6,8J,ITT
AKG,MON,7,10E,SS
AKG,TUE,1,9B,SS
AKG,TUE,3,10F,SS
AKG,TUE,4,8L,SS
AKG,TUE,6,8G,SS
AKG,TUE,7,10E,SS
AKG,WED,1,9B,SS
AKG,WED,2,10F,SS
AKG,WED,5,8G,SS
AKG,WED,6,10E,SS
AKG,THU,1,9B,SS
AKG,THU,2,8L,SS
AKG,THU,4,10F,SS
AKG,THU,5,8G,SS
AKG,THU,7,10E,SS
AKG,FRI,1,9B,SS
AKG,FRI,2,10F,SS
AKG,FRI,4,8G,SS
AKG,FRI,5,10E,SS
AKG,FRI,7,8L,SS
AKD,MON,1,9I,SS
AKD,MON,2,SCM,NIL
AKD,MON,3,8I,SS
AKD,MON,5,8B,SS
AKD,MON,6,10C,SS
AKD,MON,7,9H,SS
AKD,TUE,3,8I,SS
AKD,TUE,4,9I,SS
AKD,TUE,5,10C,SS
AKD,TUE,7,9H,SS
AKD,WED,1,9I,SS
AKD,WED,3,8B,SS
AKD,WED,4,8I,SS
AKD,WED,5,9H,SS
AKD,WED,7,10C,SS
AKD,THU,1,9I,SS
AKD,THU,2,8B,SS
AKD,THU,4,9H,SS
AKD,THU,5,10C,SS
AKD,THU,6,8I,ITT
AKD,FRI,1,9I,SS
AKD,FRI,2,10C,SS
AKD,FRI,5,9H,SS
AKD,FRI,6,8I,SS
AKD,FRI,7,8B,SS
RV,MON,1,10A,SS
RV,MON,2,SCM,NIL
RV,MON,3,8D,SS
RV,MON,4,8K,SS
RV,MON,5,8G,LAB2
RV,MON,7,8J,SS
RV,TUE,1,10A,SS
RV,TUE,2,9J,ITT
RV,TUE,4,8J,SS
RV,TUE,5,8D,SS
RV,TUE,6,9J,LAB2
RV,WED,1,10A,SS
RV,WED,2,8A,ITT
RV,WED,4,8D,SS
RV,WED,6,8J,SS
RV,WED,7,8K,SS
RV,THU,1,10A,SS
RV,THU,2,8K,SS
RV,THU,5,8D,ITT
RV,THU,6,8D,SS
RV,THU,7,9J,LAB2
RV,FRI,2,8K,SS
RV,FRI,4,10A,SS
RV,FRI,5,8G,LAB2
RV,FRI,7,8J,SS
RK,MON,1,8F,SS
RK,MON,2,SCM,NIL
RK,MON,3,10G,SS
RK,MON,4,9F,SS
RK,MON,6,8C,SS
RK,TUE,1,8F,SS
RK,TUE,3,10G,SS
RK,TUE,4,8F,LAB2
RK,TUE,6,9F,SS
RK,TUE,7,10H,ITT
RK,WED,1,8F,SS
RK,WED,2,10G,SS
RK,WED,4,8C,SS
RK,WED,6,9F,SS
RK,THU,1,8F,SS
RK,THU,2,9F,SS
RK,THU,4,10H,LAB1
RK,THU,6,8C,SS
RK,THU,7,10G,SS
RK,FRI,1,9F,SS
RK,FRI,3,8F,LAB2
RK,FRI,4,8C,SS
RK,FRI,5,10G,SS
RK,FRI,7,10H,LAB1
IKR,MON,1,9E,SS
IKR,MON,2,SCM,NIL
IKR,MON,3,8H,SS
IKR,MON,4,10H,SS
IKR,MON,6,9B,LAB1
IKR,MON,7,9C,SS
IKR,TUE,1,9E,SS
IKR,TUE,2,10H,SS
IKR,TUE,4,9C,LAB1
IKR,TUE,5,9C,SS
IKR,WED,1,9E,SS
IKR,WED,2,9B,ITT
IKR,WED,4,9C,SS
IKR,WED,6,10H,SS
IKR,WED,7,8H,SS
IKR,THU,1,9E,SS
IKR,THU,2,10H,SS
IKR,THU,3,8H,SS
IKR,THU,5,9B,LAB1
IKR,THU,6,9C,SS
IKR,FRI,1,9E,SS
IKR,FRI,2,9C,LAB1
IKR,FRI,3,10H,SS
IKR,FRI,5,9C,SS
IKR,FRI,6,8H,SS
ANI,MON,1,9J,SS
ANI,MON,2,SCM,NIL
ANI,MON,3,9G,SS
ANI,MON,4,8L,LAB2
ANI,MON,5,9A,SS
ANI,MON,7,10D,SS
ANI,TUE,2,9A,SS
ANI,TUE,3,8D,LAB2
ANI,TUE,4,9J,SS
ANI,TUE,6,10D,SS
ANI,TUE,7,9G,SS
ANI,WED,1,10D,SS
ANI,WED,3,9G,SS
ANI,WED,4,8K,ITT
ANI,WED,5,9J,SS
ANI,WED,7,9A,SS
ANI,THU,1,9J,SS
ANI,THU,3,10D,SS
ANI,THU,4,8D,LAB2
ANI,THU,6,9A,SS
ANI,THU,7,9G,SS
ANI,FRI,1,8L,LAB2
ANI,FRI,2,9G,SS
ANI,FRI,4,9J,SS
ANI,FRI,5,10D,SS
ANI,FRI,6,9A,SS
MC,MON,1,8E,MAT
MC,MON,3,10D,MAT
MC,MON,4,10E,MAT
MC,MON,5,8L,MAT
MC,TUE,1,8E,MAT
MC,TUE,3,8L,MAT
MC,TUE,4,SCM,NIL
MC,TUE,5,10D,MAT
MC,TUE,6,10E,MAT
MC,WED,1,8E,MAT
MC,WED,2,8L,MAT
MC,WED,4,10E,MAT
MC,WED,5,8E,LAB2
MC,WED,6,10D,MAT
MC,THU,1,8E,MAT
MC,THU,2,10D,MAT
MC,THU,3,8L,MAT
MC,THU,5,10E,MAT
MC,THU,7,8E,ITT
MC,FRI,1,8E,MAT
MC,FRI,2,10E,MAT
MC,FRI,3,10D,MAT
MC,FRI,5,8L,MAT
MC,FRI,6,8E,LAB2
